timestamp,victim_TEC,attacker_TEC,state
1775232670.64728,0,0,victim_identification
1775232670.748083,0,0,victim_identification
1775232670.848323,0,0,victim_identification
1775232670.948578,0,0,victim_identification
1775232671.0488272,0,0,victim_identification
1775232671.1495461,0,0,victim_identification
1775232671.255206,0,0,victim_identification
1775232671.367697,0,0,victim_identification
1775232671.4682307,0,0,victim_identification
1775232671.5687385,0,0,victim_identification
1775232671.6696656,0,0,victim_identification
1775232671.7702258,0,0,victim_identification
1775232671.8705304,0,0,victim_identification
1775232671.9736197,0,0,victim_identification
1775232672.073892,0,0,victim_identification
1775232672.1741316,0,0,victim_identification
1775232672.274709,0,0,victim_identification
1775232672.3754156,0,0,victim_identification
1775232672.475856,0,0,victim_identification
1775232672.5760505,0,0,victim_identification
1775232672.6772196,0,0,victim_identification
1775232672.8096466,0,0,victim_identification
1775232672.9100342,0,0,victim_identification
1775232673.0790818,0,0,victim_identification
1775232673.1899993,0,0,victim_identification
1775232673.290189,0,0,victim_identification
1775232673.3907092,0,0,victim_identification
1775232673.490923,0,0,victim_identification
1775232673.5915031,0,0,victim_identification
1775232673.6917086,0,0,victim_identification
1775232673.7941713,0,0,victim_identification
1775232673.8944724,0,0,victim_identification
1775232673.9946756,0,0,victim_identification
1775232674.0948927,0,0,victim_identification
1775232674.1951268,0,0,victim_identification
1775232674.3070784,0,0,victim_identification
1775232674.4106576,0,0,victim_identification
1775232674.510887,0,0,victim_identification
1775232674.6110902,0,0,victim_identification
1775232674.711387,0,0,victim_identification
1775232674.811644,0,0,victim_identification
1775232674.9120066,0,0,victim_identification
1775232675.0122168,0,0,victim_identification
1775232675.112414,0,0,victim_identification
1775232675.2152698,0,0,victim_identification
1775232675.333685,0,0,victim_identification
1775232675.433923,0,0,victim_identification
1775232675.534692,0,0,victim_identification
1775232675.6349247,0,0,victim_identification
1775232675.7351665,0,0,victim_identification
1775232675.8353908,0,0,victim_identification
1775232675.9406543,0,0,victim_identification
1775232676.0409029,0,0,victim_identification
1775232676.141106,0,0,victim_identification
1775232676.2413497,0,0,victim_identification
1775232676.341888,0,0,victim_identification
1775232676.442116,0,0,victim_identification
1775232676.5426035,0,0,victim_identification
1775232676.6483693,0,0,victim_identification
1775232676.7538033,0,0,victim_identification
1775232676.8540301,0,0,victim_identification
1775232676.9542503,0,0,victim_identification
1775232677.0545993,0,0,victim_identification
1775232677.1548097,0,0,victim_identification
1775232677.255009,0,0,victim_identification
1775232677.3554435,0,0,victim_identification
1775232677.4558482,0,0,victim_identification
1775232677.5589218,0,0,victim_identification
1775232677.6641188,0,0,victim_identification
1775232677.7702348,0,0,victim_identification
1775232677.8704548,0,0,victim_identification
1775232677.9706855,0,0,victim_identification
1775232678.0712633,0,0,victim_identification
1775232678.1715517,0,0,victim_identification
1775232678.271834,0,0,victim_identification
1775232678.4423964,0,0,victim_identification
1775232678.5426247,0,0,victim_identification
1775232678.6428854,0,0,victim_identification
1775232678.7431052,0,0,victim_identification
1775232678.8434577,0,0,victim_identification
1775232678.943677,0,0,victim_identification
1775232679.043898,0,0,victim_identification
1775232679.1578405,0,0,victim_identification
1775232679.2631645,0,0,victim_identification
